t_seconds,pool,desired_replicas,current_replicas,cpu_pct_current,cpu_pct_target
0,"cpu",1,1,0,70
0,"gpu",1,1,0,75
5,"cpu",1,1,0,70
5,"gpu",1,1,0,75
10,"cpu",1,1,0,70
10,"gpu",1,1,0,75
15,"cpu",1,1,0,70
15,"gpu",1,1,0,75
20,"cpu",1,1,0,70
20,"gpu",1,1,0,75
25,"cpu",1,1,0,70
25,"gpu",1,1,0,75
30,"cpu",1,1,0,70
30,"gpu",1,1,0,75
35,"cpu",1,1,0,70
35,"gpu",1,1,0,75
40,"cpu",1,1,0,70
40,"gpu",1,1,0,75
46,"cpu",1,1,231,70
46,"gpu",1,1,0,75
51,"cpu",1,1,231,70
51,"gpu",1,1,0,75
56,"cpu",1,1,231,70
56,"gpu",1,1,0,75
61,"cpu",2,1,231,70
61,"gpu",1,1,0,75
66,"cpu",2,1,231,70
66,"gpu",1,1,0,75
71,"cpu",2,1,231,70
71,"gpu",1,1,0,75
76,"cpu",2,2,231,70
76,"gpu",1,1,0,75
81,"cpu",2,2,231,70
81,"gpu",1,1,0,75
86,"cpu",2,2,231,70
86,"gpu",1,1,0,75
91,"cpu",2,2,231,70
91,"gpu",1,1,0,75
97,"cpu",2,2,231,70
97,"gpu",1,1,0,75
102,"cpu",2,2,231,70
102,"gpu",1,1,0,75
107,"cpu",2,2,154,70
107,"gpu",1,1,35,75
112,"cpu",2,2,154,70
112,"gpu",1,1,35,75
117,"cpu",2,2,154,70
117,"gpu",1,1,35,75
122,"cpu",2,2,154,70
122,"gpu",1,1,35,75
127,"cpu",2,2,154,70
127,"gpu",1,1,35,75
132,"cpu",2,2,154,70
132,"gpu",1,1,35,75
138,"cpu",2,2,154,70
138,"gpu",1,1,35,75
143,"cpu",2,2,154,70
143,"gpu",1,1,35,75
148,"cpu",2,2,154,70
148,"gpu",1,1,35,75
153,"cpu",2,2,154,70
153,"gpu",1,1,35,75
158,"cpu",2,2,154,70
158,"gpu",1,1,35,75
163,"cpu",2,2,154,70
163,"gpu",1,1,35,75
168,"cpu",2,2,1,70
168,"gpu",1,1,179,75
174,"cpu",2,2,1,70
174,"gpu",1,1,179,75
179,"cpu",2,2,1,70
179,"gpu",1,1,179,75
184,"cpu",2,2,1,70
184,"gpu",1,1,179,75
189,"cpu",2,2,1,70
189,"gpu",1,1,179,75
194,"cpu",2,2,1,70
194,"gpu",1,1,179,75
199,"cpu",2,2,1,70
199,"gpu",1,1,179,75
204,"cpu",2,2,1,70
204,"gpu",1,1,179,75
209,"cpu",2,2,1,70
209,"gpu",1,1,179,75
215,"cpu",2,2,1,70
215,"gpu",2,1,179,75
220,"cpu",2,2,1,70
220,"gpu",2,1,179,75
225,"cpu",2,2,1,70
225,"gpu",2,1,179,75
230,"cpu",2,2,0,70
230,"gpu",2,2,187,75
235,"cpu",2,2,0,70
235,"gpu",2,2,187,75
240,"cpu",2,2,0,70
240,"gpu",2,2,187,75
245,"cpu",2,2,0,70
245,"gpu",2,2,187,75
250,"cpu",2,2,0,70
250,"gpu",2,2,187,75
255,"cpu",2,2,0,70
255,"gpu",2,2,187,75
260,"cpu",2,2,0,70
260,"gpu",2,2,187,75
266,"cpu",2,2,0,70
266,"gpu",2,2,187,75
271,"cpu",2,2,0,70
271,"gpu",3,2,187,75
276,"cpu",2,2,0,70
276,"gpu",3,2,187,75
281,"cpu",2,2,0,70
281,"gpu",3,2,187,75
286,"cpu",2,2,1,70
286,"gpu",3,3,49,75
291,"cpu",2,2,1,70
291,"gpu",3,3,49,75
296,"cpu",2,2,1,70
296,"gpu",3,3,49,75
